Algorithm,Time (s),Distance,Tour
Nearest Neighbor,0.002888917922973633,126370.67503984089,"('Bulacan Provincial Capitol Malolos', 'Hiyas Bulacan Cultural Center and Museum Malolos', 'Barasoain Church Malolos', 'Museum of Philippine Political History Malolos', 'Immaculate Conception Parish Malolos', 'Dr Luis Santos House', 'Malolos of Aguas Potables Malolos', 'St James the Apostle Parish Plaridel', 'Simboryo Chapel of Quingua Plaridel', 'Municipal Trial Court Pulilan', 'Parish of St John the Baptist Calumpit', 'Old PNR  Guiguinto Station Guiguinto', 'Constantino Ancestral HouseBalagtas', 'Diocsan Shrine Bulakan', 'Old Meycauayan PNR Station Meycauayan', 'St Francis of Aggigi Parish Meycauayan', 'St Augustine Parish Baliwag', 'Old Municipal Building Baliwag', 'St John of God Parish San Rafael')"
Genetic Algorithm,34.08025646209717,110401.99111426606,"('Municipal Trial Court Pulilan', 'Parish of St John the Baptist Calumpit', 'Hiyas Bulacan Cultural Center and Museum Malolos', 'Bulacan Provincial Capitol Malolos', 'Barasoain Church Malolos', 'Museum of Philippine Political History Malolos', 'Malolos of Aguas Potables Malolos', 'Immaculate Conception Parish Malolos', 'Dr Luis Santos House', 'Diocsan Shrine Bulakan', 'St Francis of Aggigi Parish Meycauayan', 'Old Meycauayan PNR Station Meycauayan', 'Constantino Ancestral HouseBalagtas', 'Old PNR  Guiguinto Station Guiguinto', 'Simboryo Chapel of Quingua Plaridel', 'St James the Apostle Parish Plaridel', 'Old Municipal Building Baliwag', 'St John of God Parish San Rafael', 'St Augustine Parish Baliwag')"
Simulated Annealing,1.1980600357055664,110397.17670262845,"('Diocsan Shrine Bulakan', 'Old Meycauayan PNR Station Meycauayan', 'St Francis of Aggigi Parish Meycauayan', 'Constantino Ancestral HouseBalagtas', 'Old PNR  Guiguinto Station Guiguinto', 'Simboryo Chapel of Quingua Plaridel', 'St James the Apostle Parish Plaridel', 'Old Municipal Building Baliwag', 'St John of God Parish San Rafael', 'St Augustine Parish Baliwag', 'Municipal Trial Court Pulilan', 'Parish of St John the Baptist Calumpit', 'Hiyas Bulacan Cultural Center and Museum Malolos', 'Bulacan Provincial Capitol Malolos', 'Barasoain Church Malolos', 'Museum of Philippine Political History Malolos', 'Malolos of Aguas Potables Malolos', 'Immaculate Conception Parish Malolos', 'Dr Luis Santos House')"
Ant Colony Optimization,54.40477180480957,110838.2650181223,"('Simboryo Chapel of Quingua Plaridel', 'St James the Apostle Parish Plaridel', 'Old PNR  Guiguinto Station Guiguinto', 'Constantino Ancestral HouseBalagtas', 'St Francis of Aggigi Parish Meycauayan', 'Old Meycauayan PNR Station Meycauayan', 'Diocsan Shrine Bulakan', 'Dr Luis Santos House', 'Immaculate Conception Parish Malolos', 'Malolos of Aguas Potables Malolos', 'Museum of Philippine Political History Malolos', 'Barasoain Church Malolos', 'Hiyas Bulacan Cultural Center and Museum Malolos', 'Bulacan Provincial Capitol Malolos', 'Parish of St John the Baptist Calumpit', 'Municipal Trial Court Pulilan', 'St Augustine Parish Baliwag', 'Old Municipal Building Baliwag', 'St John of God Parish San Rafael')"
